"Name","Version","Vendor","InstallDate"
"draw.io 24.7.17","24.7.17","JGraph",
"7-Zip 18.05 (x64)","18.05","Igor Pavlov",
"Android Studio","2022.3","Google LLC",
"Mendeley Reference Manager 2.117.0","2.117.0","Mendeley",
"Cisco Packet Tracer 7.3.0 64Bit",,"Cisco Systems, Inc.","20240312"
"EaseUS Data Recovery Wizard",,"EaseUS","20241202"
"Git","2.42.0","The Git Development Community","20230828"
"Intel? Hardware Accelerated Execution Manager","7.6.5","Intel Corporation",
"Mozilla Thunderbird (x64 en-US)","115.15.0","Mozilla",
"Mozilla Maintenance Service","115.9.0","Mozilla",
"Microsoft OneNote - en-gb","16.0.18129.20158","Microsoft Corporation",
"OpenSSL 3.3.1 Light (64-bit)","3.3.1","OpenSSL Win64 Installer Team","20240813"
"Parsec Virtual Display Driver","0.45.0.0","Parsec Cloud Inc.",
"Parsec Virtual USB Adapter Driver","0.2.8.0","Parsec Cloud Inc.",
"Microsoft Office Professional Plus 2021 - en-gb","16.0.18129.20158","Microsoft Corporation",
"Microsoft Office Professional Plus 2021 - en-us","16.0.18129.20158","Microsoft Corporation",
"Proton VPN","3.3.2","Proton AG","20240919"
"SQLiteStudio","3.4.4","sqlitestudio.pl","20231201"
"VLC media player","3.0.20","VideoLAN",
"WinRAR 6.22 (64-bit)","6.22.0","win.rar GmbH",
"XAMPP","8.2.12-0","Apache Friends","20240918"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","20230922"
"Microsoft .NET 7.0 Templates 7.0.400 (x64)","28.6.43700","Microsoft Corporation","20230828"
"Python 3.12.0 Test Suite (64-bit)","3.12.150.0","Python Software Foundation","20231124"
"Free Download Manager","6.24.2.5857","Softdeluxe","20241003"
"Python 3.10.3 Test Suite (64-bit)","3.10.3150.0","Python Software Foundation","20240620"
"Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)","56.35.64642","Microsoft Corporation","20230828"
"Python 3.12.0 Standard Library (64-bit)","3.12.150.0","Python Software Foundation","20231124"
"Python 3.10.3 Executables (64-bit)","3.10.3150.0","Python Software Foundation","20240620"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20230922"
"Python 3.12.0 Development Libraries (64-bit)","3.12.150.0","Python Software Foundation","20231124"
"Python 3.12.0 pip Bootstrap (64-bit)","3.12.150.0","Python Software Foundation","20231124"
"vs_communityx64msi","17.7.33906","Microsoft Corporation","20230901"
"AeroMED Mic","1.0.2","Zambia Flying Doctor Service","20241029"
"Python 3.10.3 Tcl/Tk Support (64-bit)","3.10.3150.0","Python Software Foundation","20240620"
"vs_minshellinteropx64msi","17.7.33905","Microsoft Corporation","20230901"
"AeroMED Mixer","1.0.2","Unknown","20241022"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","20230922"
"Python 3.12.0 Add to Path (64-bit)","3.12.150.0","Python Software Foundation","20231124"
"Node.js","20.10.0","Node.js Foundation","20231124"
"Windows App Certification Kit Native Components","10.1.22621.1778","Microsoft Corporation","20230901"
"Python 3.10.3 Standard Library (64-bit)","3.10.3150.0","Python Software Foundation","20240620"
"Microsoft .NET AppHost Pack - 7.0.10 (x64_x86)","56.43.64668","Microsoft Corporation","20230828"
"Microsoft Visual C++ 2022 X64 Debug Runtime - 14.36.32532","14.36.32532","Microsoft Corporation","20230901"
"Microsoft .NET Host - 7.0.10 (x64)","56.43.64668","Microsoft Corporation","20230828"
"Python 3.10.3 Development Libraries (64-bit)","3.10.3150.0","Python Software Foundation","20240620"
"Python 3.10.3 Core Interpreter (64-bit)","3.10.3150.0","Python Software Foundation","20240620"
"Microsoft ASP.NET Core 7.0.10 Targeting Pack (x64)","7.0.10.23364","Microsoft Corporation","20230828"
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)","56.3.64668","Microsoft Corporation","20230828"
"vs_Graphics_Singletonx64","17.7.33906","Microsoft Corporation","20230901"
"64 Bit HP CIO Components Installer","22.2.1","HP Inc.","20240705"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","20230922"
"Python 3.10.3 pip Bootstrap (64-bit)","3.10.3150.0","Python Software Foundation","20240620"
"Microsoft.NET.Sdk.iOS.Manifest-7.0.100 (x64)","16.0.0","Microsoft Corporation","20230828"
"Universal CRT Tools x64","10.1.22621.1778","Microsoft Corporation","20230901"
"Python 3.12.0 Executables (64-bit)","3.12.150.0","Python Software Foundation","20231124"
"Microsoft.NET.Sdk.macOS.Manifest-7.0.100 (x64)","12.3.0","Microsoft Corporation","20230828"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.40.33810","14.40.33810","Microsoft Corporation","20240920"
